"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"birds_human_feedback_v13.nlogo"
"clustering"
"02/26/2025 16:47:33:418 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","29","0","29"
"[run number]","change-chance","max-bird","mean-vegetation-volume","[step]","count turtles","[pxcor] of patches","[pycor] of patches","[vegetation-volume] of patches","[bird-density] of patches","[bird-love] of patches"
"1","0.05","1","3","500","0","[4 0 23 21 12 26 22 24 15 8 4 18 7 0 1 16 25 29 0 8 9 20 11 24 22 17 7 23 9 20 18 20 19 6 5 26 17 24 13 2 15 29 24 9 0 12 16 0 9 2 15 11 6 29 24 28 22 3 5 18 23 20 12 27 22 12 8 28 3 24 7 26 7 15 28 8 11 7 5 27 1 10 27 16 21 14 8 27 5 26 1 10 18 17 19 16 4 15 15 28 26 9 28 3 27 21 29 29 8 13 3 12 15 21 12 8 27 23 15 18 2 9 0 14 18 9 18 12 0 18 15 8 17 0 15 14 0 13 22 17 27 27 4 17 18 2 0 20 16 12 3 1 1 29 14 8 19 16 7 2 5 19 9 12 4 25 3 20 10 6 4 2 0 18 22 21 6 12 29 13 4 24 7 17 4 3 6 25 22 8 25 21 9 28 29 5 14 18 19 7 28 19 13 13 26 3 7 27 2 24 12 12 7 9 24 25 6 6 10 20 10 19 1 8 5 29 9 15 19 13 17 10 1 1 15 10 22 16 14 11 21 4 18 4 7 1 13 11 17 13 29 9 12 26 8 7 17 21 13 18 24 12 2 11 10 17 20 24 7 6 1 8 28 23 3 22 14 22 1 5 14 28 22 12 26 26 26 27 24 23 3 23 19 5 23 26 18 23 2 21 17 16 23 6 9 26 23 4 27 29 25 25 15 25 11 28 6 13 14 27 0 27 14 20 22 29 19 16 9 27 2 4 5 14 19 7 12 14 25 2 11 16 27 7 25 14 19 19 27 8 25 0 11 10 10 13 27 5 2 25 5 28 15 1 15 7 10 23 7 13 16 26 29 8 18 9 3 28 12 2 6 7 15 12 20 20 10 22 4 19 0 3 10 25 21 26 26 0 22 25 27 24 13 2 16 9 10 19 29 19 28 29 9 25 23 6 23 7 10 2 11 8 14 8 15 12 17 19 14 24 23 25 26 20 1 19 11 21 20 22 4 19 6 9 4 12 21 0 10 23 11 11 28 15 16 14 10 20 23 11 13 13 18 16 29 18 16 17 28 22 27 20 24 28 1 0 10 12 19 6 14 17 15 10 13 22 1 29 1 25 14 13 10 14 11 22 21 25 28 28 29 8 10 3 25 26 27 24 21 18 2 1 13 29 16 23 19 15 18 27 13 4 15 21 27 1 20 27 8 17 15 17 26 14 9 28 14 12 4 27 1 24 4 2 20 22 5 4 24 0 28 17 7 10 14 20 17 21 3 25 0 9 6 2 15 9 2 10 18 4 3 9 13 21 19 25 12 17 15 26 5 6 20 6 6 14 26 21 1 5 23 7 13 27 20 16 25 13 3 18 8 27 8 11 28 17 22 5 8 25 25 0 7 7 0 2 26 1 24 5 29 14 21 27 20 3 23 5 21 16 19 14 4 6 1 7 12 16 5 16 29 8 26 24 22 5 3 22 11 6 2 22 22 6 20 28 11 6 8 20 21 4 10 9 29 19 5 11 8 23 24 26 11 18 4 19 29 28 21 26 23 2 14 17 12 24 24 10 25 1 5 14 9 16 9 20 12 16 13 3 3 4 8 24 9 3 13 17 3 16 24 22 20 18 19 5 3 21 3 2 2 28 28 10 19 5 20 28 13 21 27 14 22 16 4 1 19 5 7 18 2 8 11 25 2 11 6 1 21 10 17 27 7 16 5 23 11 8 8 0 11 23 17 15 25 26 3 28 14 23 9 19 0 16 10 2 5 2 17 13 26 0 29 13 0 11 4 23 0 21 22 0 3 20 12 20 5 21 29 1 23 29 1 7 23 13 28 18 5 27 6 28 23 18 1 18 4 22 28 8 3 12 24 7 26 4 2 14 17 11 16 2 25 16 29 26 16 18 21 12 20 26 9 11 26 15 23 7 6 24 29 11 21 29 17 1 6 6 9 21 15 0 24 5 7 18 4 10 4 15 22 11 6 25 19 24 22 18 12 25 29 3 6 3 24 10 16 17 1 13 15 17 11 6 3 20 15 9 0 0]","[23 16 12 27 27 1 16 7 19 11 19 3 20 15 28 8 2 1 26 9 11 4 19 22 20 13 21 11 25 13 13 26 9 16 12 26 2 23 6 4 29 0 13 9 6 3 3 9 10 25 23 6 27 17 5 25 9 8 4 2 13 17 18 20 26 23 23 22 5 15 23 13 0 7 1 19 26 26 18 12 2 17 29 0 10 2 22 26 21 8 20 10 19 5 27 1 20 8 5 7 29 0 16 20 5 28 13 28 7 20 28 10 26 2 17 13 13 28 18 29 6 12 8 0 27 6 4 19 22 18 20 0 14 10 28 19 3 5 21 16 9 27 1 17 6 3 25 2 10 16 3 13 9 6 28 6 21 28 16 26 13 25 22 26 24 29 11 5 8 25 0 21 12 20 3 15 6 5 24 8 11 19 17 28 10 12 26 5 5 14 13 7 7 26 18 28 6 22 24 22 29 8 18 17 0 24 5 25 22 21 8 7 4 23 16 6 1 18 1 21 29 10 0 29 6 26 4 15 7 3 9 28 11 1 10 18 8 12 26 1 19 22 17 17 8 23 21 17 8 4 20 13 22 7 21 3 23 17 7 24 4 6 18 28 14 1 25 27 2 14 16 3 13 1 7 1 27 2 26 27 18 10 4 15 18 6 17 7 11 22 26 7 2 29 2 21 15 18 28 29 27 27 29 15 15 10 21 29 24 27 9 28 6 18 7 8 9 26 10 6 1 28 5 23 7 2 22 4 3 22 23 4 14 25 6 25 13 15 4 24 16 6 21 28 26 8 0 13 17 25 11 28 27 23 3 22 3 7 2 14 22 15 14 7 2 1 26 26 27 11 13 5 7 2 11 24 16 14 20 1 10 10 9 12 0 1 6 6 3 12 11 9 15 8 14 2 28 19 17 19 10 25 10 9 18 14 13 17 15 18 23 3 17 23 0 28 17 29 2 8 21 20 17 4 21 14 10 26 22 18 27 22 27 19 15 15 8 24 27 13 13 20 3 20 21 4 26 29 0 23 29 5 5 13 11 12 22 16 5 10 29 2 12 21 12 16 9 7 19 25 11 7 6 9 27 13 20 29 16 23 16 26 12 27 12 27 4 23 14 25 11 0 5 23 4 11 20 1 24 28 4 16 11 15 21 3 14 0 4 1 5 8 15 5 23 3 11 3 23 18 27 7 27 21 2 5 6 23 12 21 0 12 24 3 26 6 4 2 12 19 17 12 26 19 24 18 26 2 28 4 21 0 19 24 13 22 11 23 1 15 23 18 22 29 25 2 10 19 5 14 0 21 19 18 5 27 21 20 16 25 5 21 15 2 13 7 20 22 6 2 20 6 23 4 12 16 10 16 19 10 26 1 15 9 17 3 24 3 24 16 0 24 11 15 5 7 11 19 1 16 16 20 12 0 28 13 14 8 9 22 14 1 15 0 12 14 28 20 10 15 10 10 15 3 10 11 27 19 18 17 13 28 0 24 11 12 24 8 27 14 8 9 12 16 22 28 25 15 1 10 9 14 22 0 27 19 14 4 1 19 16 15 24 15 24 8 2 4 3 29 0 9 5 7 8 3 1 19 25 23 29 5 17 26 27 17 28 29 22 5 17 12 8 26 3 19 18 25 2 20 27 18 2 7 1 1 20 20 1 16 15 14 22 2 16 3 23 23 24 14 14 8 20 24 17 11 5 22 3 25 22 8 13 26 17 4 0 18 5 0 23 24 25 22 20 23 25 27 21 15 29 4 21 24 16 12 9 11 18 14 12 17 11 9 27 25 6 19 18 6 23 14 6 29 11 10 24 13 8 21 6 25 24 7 8 13 3 9 15 16 4 11 9 8 18 21 18 15 0 28 21 9 10 9 16 28 16 29 4 14 14 0 17 17 19 22 25 25 5 0 9 9 28 13 4 17 25 18 7 14 21 12 11 29 19 25 19 29 1 0 1 20 24 20 12 7 25 21 8 4 29 3 20 12 29 29 14 28 25 7 9 10 11 4 20 9 29 6 10 24 24 24 2 12 14 18 11 19 2 7]","[1 13 14 9 4 9 16 0 10 12 9 7 0 16 12 8 0 7 2 16 0 10 8 15 1 15 16 16 16 3 3 16 2 14 16 12 16 16 5 14 3 9 16 0 0 0 16 0 16 16 10 0 7 15 11 14 3 16 12 6 7 4 7 4 10 1 0 14 0 14 0 16 14 16 0 0 13 16 0 15 0 11 13 16 16 6 0 16 16 1 16 8 16 7 4 16 16 16 16 8 8 4 13 6 16 11 15 0 6 6 5 16 11 9 16 0 7 0 16 6 15 16 14 6 13 16 16 13 16 14 16 15 14 0 0 6 16 16 16 5 6 5 16 0 16 11 16 4 16 15 1 14 1 10 16 1 16 1 14 13 0 9 3 16 16 0 13 2 16 6 10 11 7 3 16 7 12 2 16 15 16 0 14 16 11 15 16 10 0 16 11 0 16 11 11 11 8 0 13 14 13 16 16 16 14 16 10 16 7 16 9 16 8 10 5 16 15 14 4 0 16 6 0 0 1 3 8 16 16 11 1 4 16 0 16 2 1 16 16 2 7 16 16 16 16 0 12 16 16 16 3 16 16 5 3 15 15 14 11 11 16 16 9 16 12 0 16 0 2 16 9 16 16 10 16 7 16 4 16 16 4 16 3 9 15 13 10 5 13 6 0 7 10 15 0 16 16 0 16 5 3 6 9 3 16 10 16 3 10 16 16 16 7 16 15 16 2 16 10 16 9 16 0 0 16 2 0 4 15 2 9 16 8 4 16 16 6 14 16 0 10 3 16 16 16 16 12 15 12 0 13 14 13 4 14 5 16 15 0 9 14 14 15 16 16 16 1 11 13 8 6 0 4 16 3 16 12 15 9 16 2 0 9 11 3 16 1 3 16 13 10 4 16 2 16 16 16 5 12 15 6 8 0 16 11 12 16 10 12 16 5 13 7 16 15 9 16 16 14 0 14 16 4 3 9 16 5 12 16 8 16 9 12 8 6 14 15 16 12 0 16 16 16 1 2 8 16 11 0 0 14 16 16 13 15 2 15 16 10 9 16 16 5 6 4 10 16 14 0 15 0 13 15 0 9 16 16 0 13 16 9 1 13 15 1 16 0 7 7 0 0 14 16 16 0 16 16 0 16 5 11 16 13 9 16 2 13 16 16 16 16 16 2 16 12 16 16 16 3 0 5 14 4 16 6 16 2 4 4 13 4 1 16 14 10 14 1 0 11 16 0 16 1 16 15 16 9 2 8 9 0 0 0 15 8 16 14 15 16 14 15 5 0 16 16 16 16 5 16 0 14 3 5 14 15 16 4 3 16 0 1 15 6 13 16 4 2 11 16 6 16 13 16 13 10 6 1 16 16 16 16 16 0 1 16 8 16 15 0 0 0 11 0 15 11 11 1 2 3 0 0 13 0 10 12 14 6 0 0 16 16 10 4 3 16 16 13 16 16 0 16 16 16 0 16 7 16 0 16 7 13 16 14 13 11 0 13 11 15 16 9 16 0 16 15 4 2 15 11 0 13 2 16 15 14 0 8 16 0 1 0 15 16 16 4 15 1 16 16 15 0 16 0 16 16 0 2 10 1 11 16 16 10 16 7 16 0 1 16 10 7 16 11 14 16 1 5 16 16 16 16 9 16 3 4 3 14 16 14 9 13 0 14 0 0 3 14 1 7 16 8 0 7 16 1 0 10 15 9 12 7 0 16 16 4 11 16 13 15 0 16 16 16 1 2 2 10 15 16 9 16 16 13 16 1 16 16 13 9 16 16 15 12 16 11 15 16 0 1 12 16 16 15 6 14 11 10 0 15 16 12 16 14 8 5 6 0 16 16 8 7 0 16 1 14 16 16 16 2 10 8 3 12 14 2 16 16 14 9 6 16 16 0 0 0 14 16 0 0 0 16 13 16 1 16 16 1 12 11 9 16 16 9 16 10 16 4 16 0 0 16 12 13 16 14 16 3 16 9 5 16 16 7 16 16 14 15 14 14 14 16 12 16 3 12 0 1 4 16 16 5 5 16 13 12 16 16 16 0 16]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[1 6 7 7 6 9 9 1 9 9 6 4 1 10 6 10 0 6 1 9 2 2 3 10 4 7 9 8 10 5 5 10 2 5 10 6 10 10 1 8 4 4 9 0 1 2 5 1 7 7 10 6 5 6 6 8 10 10 10 5 8 9 6 2 9 3 1 9 1 4 6 3 6 6 7 2 9 6 2 6 0 4 8 10 10 5 1 8 10 5 10 6 10 4 0 10 10 9 8 8 3 4 7 7 10 7 4 3 5 9 7 10 10 3 6 0 5 2 8 6 8 10 6 4 8 7 9 8 8 7 10 3 4 0 1 7 9 8 9 5 4 8 10 5 9 6 8 3 9 10 6 7 5 7 9 2 10 7 6 7 0 7 3 10 8 0 5 5 9 6 7 2 5 2 9 5 6 6 9 7 9 0 9 9 9 6 7 5 2 6 5 0 8 0 5 5 7 4 4 8 7 8 9 9 8 9 3 6 10 8 3 9 4 9 5 9 7 8 5 3 10 4 5 3 2 3 5 6 10 5 6 4 10 1 9 4 2 9 9 3 5 9 10 8 10 0 8 7 8 10 4 6 10 4 1 8 3 6 2 6 9 10 6 8 7 4 9 3 6 9 3 10 9 6 9 6 9 6 7 10 7 9 4 6 10 8 5 5 9 8 3 5 5 10 0 10 9 1 8 9 7 5 8 8 10 7 6 4 7 10 8 7 9 10 4 7 6 9 6 10 7 10 4 3 8 2 0 6 6 8 8 10 3 3 8 10 6 6 9 2 4 3 10 10 9 10 9 8 8 5 2 4 10 5 3 2 9 9 1 10 10 8 8 5 10 10 4 4 6 10 6 0 0 7 3 8 7 8 5 8 8 2 4 9 5 10 5 3 10 7 7 4 9 2 10 5 2 5 2 5 9 7 1 8 6 5 6 7 7 9 4 8 6 10 9 5 10 10 7 2 5 10 8 7 5 8 6 8 8 3 8 4 4 5 6 7 9 9 7 1 7 10 9 6 7 5 8 7 0 3 3 10 10 7 4 0 6 7 7 2 9 8 6 7 5 7 7 8 2 10 0 1 7 2 8 10 9 5 5 10 6 5 7 8 5 9 1 2 10 3 4 6 9 9 1 9 9 7 8 10 1 9 4 8 8 6 5 8 9 9 10 10 6 8 4 3 10 9 4 2 6 6 9 10 6 9 2 4 4 7 2 6 7 2 2 6 2 8 4 7 4 10 4 9 6 9 4 3 5 2 4 0 3 6 8 9 8 6 8 7 6 7 3 9 10 9 9 5 10 4 9 5 1 8 8 9 2 3 9 4 6 5 3 3 9 5 3 5 9 7 8 10 10 3 6 8 8 7 10 7 9 8 4 2 9 7 8 8 0 0 0 4 5 7 10 5 3 5 6 6 2 5 5 9 7 4 7 0 0 10 9 10 3 5 7 7 6 10 10 0 6 9 9 3 9 4 10 6 10 6 6 8 7 7 10 4 2 10 8 9 2 8 0 8 10 3 4 6 6 4 6 4 8 3 9 2 5 7 0 3 1 9 6 10 1 7 7 9 10 3 1 6 3 7 8 3 4 4 2 10 8 9 6 10 4 9 4 5 10 9 9 9 4 4 10 3 5 6 8 8 10 9 7 5 5 5 4 8 9 5 7 3 6 4 2 5 7 2 10 9 6 6 8 8 2 2 4 10 8 9 5 0 7 10 0 8 6 4 6 0 10 8 8 1 0 3 8 8 10 4 9 9 5 9 3 10 9 8 7 8 6 4 10 5 5 6 7 1 4 10 10 6 10 9 8 8 0 2 4 7 8 8 6 6 7 6 1 9 8 1 8 1 7 3 6 9 10 10 3 10 5 5 6 8 2 10 6 8 8 6 10 9 1 2 3 8 8 5 2 1 5 6 8 6 9 6 5 8 8 9 4 6 2 7 5 10 8 9 0 3 9 5 9 7 8 10 8 10 10 6 9 9 6 9 10 8 7 4 9 8 9 7 6 6 8 0 2 8 10 10 8 4 10 7 5 10 10 9 1 7]"
