plant name,proportion of yards
species81,0.029885057
species298,0.029885057
species228,0.031034483
species328,0.032183908
species29,0.033333333
species150,0.033333333
species226,0.035632184
species11,0.036781609
species324,0.037931034
species230,0.03908046
species260,0.03908046
species248,0.04137931
species153,0.042528736
species171,0.042528736
species302,0.042528736
species119,0.043678161
species161,0.043678161
species287,0.044827586
species3,0.049425287
species175,0.056321839
species266,0.057471264
species368,0.05862069
species391,0.059770115
species49,0.065517241
species130,0.068965517
species308,0.075862069
species249,0.081609195
species303,0.081609195
species164,0.082758621
species172,0.082758621
species288,0.085057471
species52,0.091954023
species227,0.096551724
species291,0.096551724
species237,0.102298851
species374,0.112643678
species129,0.118390805
species59,0.135632184
species295,0.13908046
species159,0.154022989
species331,0.198850575
species371,0.348275862
species166,0.46091954
